tic,date,ajexdi,price,gvkey
UNG,1/4/2021,0.25,9.45,177207
UNG,1/5/2021,0.25,9.78,177207
UNG,1/6/2021,0.25,9.83,177207
UNG,1/7/2021,0.25,9.7,177207
UNG,1/8/2021,0.25,9.75,177207
UNG,1/11/2021,0.25,10.1,177207
UNG,1/12/2021,0.25,9.92,177207
UNG,1/13/2021,0.25,9.94,177207
UNG,1/14/2021,0.25,9.68,177207
UNG,1/15/2021,0.25,9.96,177207
UNG,1/19/2021,0.25,9.26,177207
UNG,1/20/2021,0.25,9.28,177207
UNG,1/21/2021,0.25,9.19,177207
UNG,1/22/2021,0.25,9.01,177207
UNG,1/25/2021,0.25,9.54,177207
UNG,1/26/2021,0.25,9.67,177207
UNG,1/27/2021,0.25,9.82,177207
UNG,1/28/2021,0.25,9.83,177207
UNG,1/29/2021,0.25,9.41,177207
UNG,2/1/2021,0.25,10.32,177207
UNG,2/2/2021,0.25,10.39,177207
UNG,2/3/2021,0.25,10.14,177207
UNG,2/4/2021,0.25,10.84,177207
UNG,2/5/2021,0.25,10.53,177207
UNG,2/8/2021,0.25,10.59,177207
UNG,2/9/2021,0.25,10.31,177207
UNG,2/10/2021,0.25,10.85,177207
UNG,2/11/2021,0.25,10.44,177207
UNG,2/12/2021,0.25,10.67,177207
UNG,2/16/2021,0.25,11.1,177207
UNG,2/17/2021,0.25,11.3,177207
UNG,2/18/2021,0.25,10.99,177207
UNG,2/19/2021,0.25,11.16,177207
UNG,2/22/2021,0.25,10.93,177207
UNG,2/23/2021,0.25,10.69,177207
UNG,2/24/2021,0.25,10.48,177207
UNG,2/25/2021,0.25,10.31,177207
UNG,2/26/2021,0.25,10.32,177207
UNG,3/1/2021,0.25,10.37,177207
UNG,3/2/2021,0.25,10.64,177207
UNG,3/3/2021,0.25,10.5,177207
UNG,3/4/2021,0.25,10.26,177207
UNG,3/5/2021,0.25,10.08,177207
UNG,3/8/2021,0.25,9.94,177207
UNG,3/9/2021,0.25,9.97,177207
UNG,3/10/2021,0.25,10.03,177207
UNG,3/11/2021,0.25,9.97,177207
UNG,3/12/2021,0.25,9.69,177207
UNG,3/15/2021,0.25,9.35,177207
UNG,3/16/2021,0.25,9.55,177207
UNG,3/17/2021,0.25,9.43,177207
UNG,3/18/2021,0.25,9.29,177207
UNG,3/19/2021,0.25,9.49,177207
UNG,3/22/2021,0.25,9.62,177207
UNG,3/23/2021,0.25,9.42,177207
UNG,3/24/2021,0.25,9.45,177207
UNG,3/25/2021,0.25,9.64,177207
UNG,3/26/2021,0.25,9.66,177207
UNG,3/29/2021,0.25,9.73,177207
UNG,3/30/2021,0.25,9.66,177207
UNG,3/31/2021,0.25,9.58,177207
UNG,4/1/2021,0.25,9.7,177207
UNG,4/5/2021,0.25,9.25,177207
UNG,4/6/2021,0.25,9.06,177207
UNG,4/7/2021,0.25,9.25,177207
UNG,4/8/2021,0.25,9.28,177207
UNG,4/9/2021,0.25,9.28,177207
UNG,4/12/2021,0.25,9.42,177207
UNG,4/13/2021,0.25,9.65,177207
UNG,4/14/2021,0.25,9.63,177207
UNG,4/15/2021,0.25,9.8,177207
UNG,4/16/2021,0.25,9.88,177207
UNG,4/19/2021,0.25,10.09,177207
UNG,4/20/2021,0.25,10.04,177207
UNG,4/21/2021,0.25,9.95,177207
UNG,4/22/2021,0.25,10.15,177207
UNG,4/23/2021,0.25,10.06,177207
UNG,4/26/2021,0.25,10.31,177207
UNG,4/27/2021,0.25,10.52,177207
UNG,4/28/2021,0.25,10.58,177207
UNG,4/29/2021,0.25,10.42,177207
UNG,4/30/2021,0.25,10.51,177207
UNG,5/3/2021,0.25,10.63,177207
UNG,5/4/2021,0.25,10.66,177207
UNG,5/5/2021,0.25,10.56,177207
UNG,5/6/2021,0.25,10.53,177207
UNG,5/7/2021,0.25,10.59,177207
UNG,5/10/2021,0.25,10.5,177207
UNG,5/11/2021,0.25,10.59,177207
UNG,5/12/2021,0.25,10.68,177207
UNG,5/13/2021,0.25,10.65,177207
UNG,5/14/2021,0.25,10.64,177207
UNG,5/17/2021,0.25,11.16,177207
UNG,5/18/2021,0.25,10.81,177207
UNG,5/19/2021,0.25,10.67,177207
UNG,5/20/2021,0.25,10.59,177207
UNG,5/21/2021,0.25,10.46,177207
UNG,5/24/2021,0.25,10.42,177207
UNG,5/25/2021,0.25,10.54,177207
UNG,5/26/2021,0.25,10.62,177207
UNG,5/27/2021,0.25,10.41,177207
UNG,5/28/2021,0.25,10.52,177207
UNG,6/1/2021,0.25,10.92,177207
UNG,6/2/2021,0.25,10.79,177207
UNG,6/3/2021,0.25,10.76,177207
UNG,6/4/2021,0.25,10.89,177207
UNG,6/7/2021,0.25,10.82,177207
UNG,6/8/2021,0.25,11,177207
UNG,6/9/2021,0.25,11.09,177207
UNG,6/10/2021,0.25,11.09,177207
UNG,6/11/2021,0.25,11.54,177207
UNG,6/14/2021,0.25,11.81,177207
UNG,6/15/2021,0.25,11.3,177207
UNG,6/16/2021,0.25,11.43,177207
UNG,6/17/2021,0.25,11.42,177207
UNG,6/18/2021,0.25,11.31,177207
UNG,6/21/2021,0.25,11.26,177207
UNG,6/22/2021,0.25,11.47,177207
UNG,6/23/2021,0.25,11.64,177207
UNG,6/24/2021,0.25,12.01,177207
UNG,6/25/2021,0.25,12.32,177207
UNG,6/28/2021,0.25,12.57,177207
UNG,6/29/2021,0.25,12.8,177207
UNG,6/30/2021,0.25,13.08,177207
UNG,7/1/2021,0.25,12.79,177207
UNG,7/2/2021,0.25,12.91,177207
UNG,7/6/2021,0.25,12.86,177207
UNG,7/7/2021,0.25,12.54,177207
UNG,7/8/2021,0.25,12.86,177207
UNG,7/9/2021,0.25,12.89,177207
UNG,7/12/2021,0.25,13.1,177207
UNG,7/13/2021,0.25,12.91,177207
UNG,7/14/2021,0.25,12.8,177207
UNG,7/15/2021,0.25,12.65,177207
UNG,7/16/2021,0.25,12.83,177207
UNG,7/19/2021,0.25,13.15,177207
UNG,7/20/2021,0.25,13.59,177207
UNG,7/21/2021,0.25,13.67,177207
UNG,7/22/2021,0.25,13.95,177207
UNG,7/23/2021,0.25,14.07,177207
UNG,7/26/2021,0.25,14.24,177207
UNG,7/27/2021,0.25,13.74,177207
UNG,7/28/2021,0.25,13.85,177207
UNG,7/29/2021,0.25,14.19,177207
UNG,7/30/2021,0.25,13.76,177207
UNG,8/2/2021,0.25,13.86,177207
UNG,8/3/2021,0.25,14.25,177207
UNG,8/4/2021,0.25,14.57,177207
UNG,8/5/2021,0.25,14.59,177207
UNG,8/6/2021,0.25,14.48,177207
UNG,8/9/2021,0.25,14.15,177207
UNG,8/10/2021,0.25,14.39,177207
UNG,8/11/2021,0.25,14.22,177207
UNG,8/12/2021,0.25,13.71,177207
UNG,8/13/2021,0.25,13.5,177207
UNG,8/16/2021,0.25,13.85,177207
UNG,8/17/2021,0.25,13.43,177207
UNG,8/18/2021,0.25,13.39,177207
UNG,8/19/2021,0.25,13.52,177207
UNG,8/20/2021,0.25,13.48,177207
UNG,8/23/2021,0.25,13.82,177207
UNG,8/24/2021,0.25,13.67,177207
UNG,8/25/2021,0.25,13.75,177207
UNG,8/26/2021,0.25,14.7,177207
UNG,8/27/2021,0.25,15.34,177207
UNG,8/30/2021,0.25,15.09,177207
UNG,8/31/2021,0.25,15.32,177207
UNG,9/1/2021,0.25,16.1,177207
UNG,9/2/2021,0.25,16.19,177207
UNG,9/3/2021,0.25,16.42,177207
UNG,9/7/2021,0.25,15.97,177207
UNG,9/8/2021,0.25,17.18,177207
UNG,9/9/2021,0.25,17.49,177207
UNG,9/10/2021,0.25,17.35,177207
UNG,9/13/2021,0.25,18.1,177207
UNG,9/14/2021,0.25,18.47,177207
UNG,9/15/2021,0.25,19.07,177207
UNG,9/16/2021,0.25,18.47,177207
UNG,9/17/2021,0.25,17.65,177207
UNG,9/20/2021,0.25,17.25,177207
UNG,9/21/2021,0.25,16.87,177207
UNG,9/22/2021,0.25,16.65,177207
UNG,9/23/2021,0.25,17.63,177207
UNG,9/24/2021,0.25,18.08,177207
UNG,9/27/2021,0.25,20.31,177207
UNG,9/28/2021,0.25,20.14,177207
UNG,9/29/2021,0.25,18.84,177207
UNG,9/30/2021,0.25,20.16,177207
UNG,10/1/2021,0.25,19.28,177207
UNG,10/4/2021,0.25,20.39,177207
UNG,10/5/2021,0.25,21.78,177207
UNG,10/6/2021,0.25,19.75,177207
UNG,10/7/2021,0.25,19.9,177207
UNG,10/8/2021,0.25,19.38,177207
UNG,10/11/2021,0.25,18.66,177207
UNG,10/12/2021,0.25,18.86,177207
UNG,10/13/2021,0.25,19.56,177207
UNG,10/14/2021,0.25,19.61,177207
UNG,10/15/2021,0.25,18.84,177207
UNG,10/18/2021,0.25,17.45,177207
UNG,10/19/2021,0.25,17.78,177207
UNG,10/20/2021,0.25,18.17,177207
UNG,10/21/2021,0.25,18.16,177207
UNG,10/22/2021,0.25,18.38,177207
UNG,10/25/2021,0.25,20.4,177207
UNG,10/26/2021,0.25,19.94,177207
UNG,10/27/2021,0.25,20.45,177207
UNG,10/28/2021,0.25,19.28,177207
