tic,date,ajexdi,price,gvkey
USO,1/2/2008,0.125,78.47,174024
USO,1/3/2008,0.125,78.37,174024
USO,1/4/2008,0.125,77.31,174024
USO,1/7/2008,0.125,75.5,174024
USO,1/8/2008,0.125,76.06,174024
USO,1/9/2008,0.125,75.25,174024
USO,1/10/2008,0.125,74.02,174024
USO,1/11/2008,0.125,73.09,174024
USO,1/14/2008,0.125,74.25,174024
USO,1/15/2008,0.125,72.78,174024
USO,1/16/2008,0.125,71.85,174024
USO,1/17/2008,0.125,71.03,174024
USO,1/18/2008,0.125,71.54,174024
USO,1/22/2008,0.125,70.55,174024
USO,1/23/2008,0.125,69.5,174024
USO,1/24/2008,0.125,70.93,174024
USO,1/25/2008,0.125,71.9126,174024
USO,1/28/2008,0.125,72.35,174024
USO,1/29/2008,0.125,72.98,174024
USO,1/30/2008,0.125,73.08,174024
USO,1/31/2008,0.125,72.35,174024
USO,2/1/2008,0.125,70.47,174024
USO,2/4/2008,0.125,71.37,174024
USO,2/5/2008,0.125,70.15,174024
USO,2/6/2008,0.125,69.02,174024
USO,2/7/2008,0.125,69.8,174024
USO,2/8/2008,0.125,72.9,174024
USO,2/11/2008,0.125,74.55,174024
USO,2/12/2008,0.125,73.59,174024
USO,2/13/2008,0.125,74.11,174024
USO,2/14/2008,0.125,75.76,174024
USO,2/15/2008,0.125,75.93,174024
USO,2/19/2008,0.125,78.81,174024
USO,2/20/2008,0.125,79.32,174024
USO,2/21/2008,0.125,77.33,174024
USO,2/22/2008,0.125,78.6,174024
USO,2/25/2008,0.125,78.7362,174024
USO,2/26/2008,0.125,80.1,174024
USO,2/27/2008,0.125,78.92,174024
USO,2/28/2008,0.125,81.48,174024
USO,2/29/2008,0.125,80.42,174024
USO,3/3/2008,0.125,81.32,174024
USO,3/4/2008,0.125,79.4,174024
USO,3/5/2008,0.125,83.3,174024
USO,3/6/2008,0.125,83.89,174024
USO,3/7/2008,0.125,83.73,174024
USO,3/10/2008,0.125,85.63,174024
USO,3/11/2008,0.125,86.34,174024
USO,3/12/2008,0.125,86.92,174024
USO,3/13/2008,0.125,87.21,174024
USO,3/14/2008,0.125,86.51,174024
USO,3/17/2008,0.125,83.3,174024
USO,3/18/2008,0.125,85.8,174024
USO,3/19/2008,0.125,82.29,174024
USO,3/20/2008,0.125,81.3,174024
USO,3/24/2008,0.125,80.26,174024
USO,3/25/2008,0.125,81.47,174024
USO,3/26/2008,0.125,84.81,174024
USO,3/27/2008,0.125,85.73,174024
USO,3/28/2008,0.125,84.37,174024
USO,3/31/2008,0.125,81.36,174024
USO,4/1/2008,0.125,81.06,174024
USO,4/2/2008,0.125,83.78,174024
USO,4/3/2008,0.125,83.65,174024
USO,4/4/2008,0.125,84.88,174024
USO,4/7/2008,0.125,86.93,174024
USO,4/8/2008,0.125,87.19,174024
USO,4/9/2008,0.125,88.9,174024
USO,4/10/2008,0.125,88.18,174024
USO,4/11/2008,0.125,88.48,174024
USO,4/14/2008,0.125,89.64,174024
USO,4/15/2008,0.125,91.44,174024
USO,4/16/2008,0.125,92.15,174024
USO,4/17/2008,0.125,92.37,174024
USO,4/18/2008,0.125,93.79,174024
USO,4/21/2008,0.125,94.38,174024
USO,4/22/2008,0.125,95.08,174024
USO,4/23/2008,0.125,95.18,174024
USO,4/24/2008,0.125,93.2,174024
USO,4/25/2008,0.125,95.66,174024
USO,4/28/2008,0.125,95.69,174024
USO,4/29/2008,0.125,92.99,174024
USO,4/30/2008,0.125,92.5,174024
USO,5/1/2008,0.125,90.38,174024
USO,5/2/2008,0.125,93.4,174024
USO,5/5/2008,0.125,96.74,174024
USO,5/6/2008,0.125,98.38,174024
USO,5/7/2008,0.125,99.8,174024
USO,5/8/2008,0.125,100.66,174024
USO,5/9/2008,0.125,102.12,174024
USO,5/12/2008,0.125,100.11,174024
USO,5/13/2008,0.125,101.71,174024
USO,5/14/2008,0.125,100.22,174024
USO,5/15/2008,0.125,100.21,174024
USO,5/16/2008,0.125,102.27,174024
USO,5/19/2008,0.125,102.8,174024
USO,5/20/2008,0.125,104.3,174024
USO,5/21/2008,0.125,108.31,174024
USO,5/22/2008,0.125,105.63,174024
USO,5/23/2008,0.125,106.95,174024
USO,5/27/2008,0.125,104.26,174024
USO,5/28/2008,0.125,105.92,174024
USO,5/29/2008,0.125,102.26,174024
USO,5/30/2008,0.125,103.06,174024
USO,6/2/2008,0.125,103.05,174024
USO,6/3/2008,0.125,100.65,174024
USO,6/4/2008,0.125,98.98,174024
USO,6/5/2008,0.125,103.95,174024
USO,6/6/2008,0.125,112.17,174024
USO,6/9/2008,0.125,109.05,174024
USO,6/10/2008,0.125,107.02,174024
USO,6/11/2008,0.125,110.99,174024
USO,6/12/2008,0.125,111.27,174024
USO,6/13/2008,0.125,109.2,174024
USO,6/16/2008,0.125,108.99,174024
USO,6/17/2008,0.125,108.68,174024
USO,6/18/2008,0.125,110.89,174024
USO,6/19/2008,0.125,106.91,174024
USO,6/20/2008,0.125,109.14,174024
USO,6/23/2008,0.125,110.92,174024
USO,6/24/2008,0.125,110.95,174024
USO,6/25/2008,0.125,108.5,174024
USO,6/26/2008,0.125,113.12,174024
USO,6/27/2008,0.125,113.75,174024
USO,6/30/2008,0.125,113.66,174024
USO,7/1/2008,0.125,114.59,174024
USO,7/2/2008,0.125,116.84,174024
USO,7/3/2008,0.125,116.82,174024
USO,7/7/2008,0.125,114.95,174024
USO,7/8/2008,0.125,109.92,174024
USO,7/9/2008,0.125,109.65,174024
USO,7/10/2008,0.125,114.34,174024
USO,7/11/2008,0.125,117.39,174024
USO,7/14/2008,0.125,117.48,174024
USO,7/15/2008,0.125,112.39,174024
USO,7/16/2008,0.125,109.25,174024
USO,7/17/2008,0.125,105.53,174024
USO,7/18/2008,0.125,104.44,174024
USO,7/21/2008,0.125,106.67,174024
USO,7/22/2008,0.125,103.32,174024
USO,7/23/2008,0.125,100.02,174024
USO,7/24/2008,0.125,101.46,174024
USO,7/25/2008,0.125,99.27,174024
USO,7/28/2008,0.125,100.54,174024
USO,7/29/2008,0.125,98.04,174024
USO,7/30/2008,0.125,102.13,174024
USO,7/31/2008,0.125,99.99,174024
USO,8/1/2008,0.125,101.04,174024
USO,8/4/2008,0.125,97.52,174024
USO,8/5/2008,0.125,95.59,174024
USO,8/6/2008,0.125,95.42,174024
USO,8/7/2008,0.125,96.4401,174024
USO,8/8/2008,0.125,92.68,174024
USO,8/11/2008,0.125,92.51,174024
USO,8/12/2008,0.125,91.49,174024
USO,8/13/2008,0.125,93.75,174024
USO,8/14/2008,0.125,92.74,174024
USO,8/15/2008,0.125,91.8,174024
USO,8/18/2008,0.125,91.26,174024
USO,8/19/2008,0.125,92.74,174024
USO,8/20/2008,0.125,93.98,174024
USO,8/21/2008,0.125,98.21,174024
USO,8/22/2008,0.125,92.54,174024
USO,8/25/2008,0.125,93.1,174024
USO,8/26/2008,0.125,93.9,174024
USO,8/27/2008,0.125,95.66,174024
USO,8/28/2008,0.125,93.39,174024
USO,8/29/2008,0.125,92.87,174024
USO,9/2/2008,0.125,89.19,174024
USO,9/3/2008,0.125,88.44,174024
USO,9/4/2008,0.125,87.02,174024
USO,9/5/2008,0.125,86.06,174024
USO,9/8/2008,0.125,85.93,174024
USO,9/9/2008,0.125,82.35,174024
USO,9/10/2008,0.125,82.97,174024
USO,9/11/2008,0.125,81.49,174024
USO,9/12/2008,0.125,81.49,174024
USO,9/15/2008,0.125,76.3,174024
USO,9/16/2008,0.125,74.99,174024
USO,9/17/2008,0.125,77.5,174024
USO,9/18/2008,0.125,79.17,174024
USO,9/19/2008,0.125,82.63,174024
USO,9/22/2008,0.125,87.62,174024
USO,9/23/2008,0.125,86.13,174024
USO,9/24/2008,0.125,84.86,174024
USO,9/25/2008,0.125,86.69,174024
USO,9/26/2008,0.125,86.21,174024
USO,9/29/2008,0.125,77.09,174024
USO,9/30/2008,0.125,82.01,174024
USO,10/1/2008,0.125,79.59,174024
USO,10/2/2008,0.125,75.82,174024
USO,10/3/2008,0.125,75.25,174024
USO,10/6/2008,0.125,71.61,174024
USO,10/7/2008,0.125,72.49,174024
USO,10/8/2008,0.125,72.26,174024
USO,10/9/2008,0.125,69.6,174024
USO,10/10/2008,0.125,66.5,174024
USO,10/13/2008,0.125,67.78,174024
USO,10/14/2008,0.125,65.03,174024
USO,10/15/2008,0.125,60.73,174024
USO,10/16/2008,0.125,59.34,174024
USO,10/17/2008,0.125,59.37,174024
USO,10/20/2008,0.125,61.8,174024
USO,10/21/2008,0.125,58.77,174024
USO,10/22/2008,0.125,54.93,174024
USO,10/23/2008,0.125,56.6,174024
USO,10/24/2008,0.125,53,174024
USO,10/27/2008,0.125,50.85,174024
USO,10/28/2008,0.125,53.22,174024
USO,10/29/2008,0.125,55.68,174024
USO,10/30/2008,0.125,54,174024
USO,10/31/2008,0.125,55.59,174024
USO,11/3/2008,0.125,52.49,174024
USO,11/4/2008,0.125,57.38,174024
USO,11/5/2008,0.125,53.84,174024
USO,11/6/2008,0.125,50.15,174024
USO,11/7/2008,0.125,50.04,174024
USO,11/10/2008,0.125,51.23,174024
USO,11/11/2008,0.125,48.11,174024
USO,11/12/2008,0.125,45.75,174024
USO,11/13/2008,0.125,49,174024
USO,11/14/2008,0.125,46.18,174024
USO,11/17/2008,0.125,45.16,174024
USO,11/18/2008,0.125,44.77,174024
USO,11/19/2008,0.125,43.26,174024
USO,11/20/2008,0.125,39.55,174024
USO,11/21/2008,0.125,41,174024
USO,11/24/2008,0.125,44.13,174024
USO,11/25/2008,0.125,41.36,174024
USO,11/26/2008,0.125,44.54,174024
USO,11/28/2008,0.125,42.09,174024
USO,12/1/2008,0.125,39.89,174024
USO,12/2/2008,0.125,38.5,174024
USO,12/3/2008,0.125,38.05,174024
USO,12/4/2008,0.125,35.41,174024
USO,12/5/2008,0.125,34.25,174024
USO,12/8/2008,0.125,36.12,174024
USO,12/9/2008,0.125,34.45,174024
USO,12/10/2008,0.125,35.81,174024
USO,12/11/2008,0.125,38.64,174024
USO,12/12/2008,0.125,38.1,174024
USO,12/15/2008,0.125,36.841,174024
USO,12/16/2008,0.125,36.44,174024
USO,12/17/2008,0.125,34.81,174024
USO,12/18/2008,0.125,32.73,174024
USO,12/19/2008,0.125,33.06,174024
USO,12/22/2008,0.125,30.63,174024
USO,12/23/2008,0.125,30,174024
USO,12/24/2008,0.125,29.024,174024
USO,12/26/2008,0.125,29.1,174024
USO,12/29/2008,0.125,30.92,174024
USO,12/30/2008,0.125,30.2,174024
USO,12/31/2008,0.125,33.1,174024
USO,1/2/2009,0.125,35.63,174024
USO,1/5/2009,0.125,37.3,174024
USO,1/6/2009,0.125,37.25,174024
USO,1/7/2009,0.125,33.27,174024
USO,1/8/2009,0.125,33.2,174024
USO,1/9/2009,0.125,32.37,174024
USO,1/12/2009,0.125,30.65,174024
USO,1/13/2009,0.125,31.84,174024
USO,1/14/2009,0.125,31.23,174024
USO,1/15/2009,0.125,30.18,174024
USO,1/16/2009,0.125,29.86,174024
USO,1/20/2009,0.125,28.66,174024
USO,1/21/2009,0.125,31.03,174024
USO,1/22/2009,0.125,30.02,174024
USO,1/23/2009,0.125,32.33,174024
USO,1/26/2009,0.125,32.14,174024
USO,1/27/2009,0.125,29.5,174024
USO,1/28/2009,0.125,29.75,174024
USO,1/29/2009,0.125,29.22,174024
USO,1/30/2009,0.125,29.22,174024
USO,2/2/2009,0.125,28.4,174024
USO,2/3/2009,0.125,28.87,174024
USO,2/4/2009,0.125,28.27,174024
USO,2/5/2009,0.125,28.81,174024
USO,2/6/2009,0.125,28.2,174024
USO,2/9/2009,0.125,28.25,174024
USO,2/10/2009,0.125,26.91,174024
USO,2/11/2009,0.125,26.08,174024
USO,2/12/2009,0.125,26.13,174024
USO,2/13/2009,0.125,25.6,174024
USO,2/17/2009,0.125,23.46,174024
USO,2/18/2009,0.125,22.86,174024
USO,2/19/2009,0.125,24.28,174024
USO,2/20/2009,0.125,24.35,174024
USO,2/23/2009,0.125,23.32,174024
USO,2/24/2009,0.125,24.44,174024
USO,2/25/2009,0.125,26,174024
USO,2/26/2009,0.125,27.23,174024
USO,2/27/2009,0.125,27.05,174024
USO,3/2/2009,0.125,24.48,174024
USO,3/3/2009,0.125,25.39,174024
USO,3/4/2009,0.125,27.61,174024
USO,3/5/2009,0.125,26.56,174024
USO,3/6/2009,0.125,27.99,174024
USO,3/9/2009,0.125,28.65,174024
USO,3/10/2009,0.125,27.83,174024
USO,3/11/2009,0.125,26.3,174024
USO,3/12/2009,0.125,28.231,174024
USO,3/13/2009,0.125,27.63,174024
USO,3/16/2009,0.125,28.25,174024
USO,3/17/2009,0.125,29.44,174024
USO,3/18/2009,0.125,29.61,174024
USO,3/19/2009,0.125,30.36,174024
USO,3/20/2009,0.125,30.76,174024
USO,3/23/2009,0.125,31.78,174024
USO,3/24/2009,0.125,31.61,174024
USO,3/25/2009,0.125,31.21,174024
USO,3/26/2009,0.125,32.02,174024
USO,3/27/2009,0.125,30.75,174024
USO,3/30/2009,0.125,28.7,174024
USO,3/31/2009,0.125,29.05,174024
USO,4/1/2009,0.125,28.58,174024
USO,4/2/2009,0.125,30.98,174024
USO,4/3/2009,0.125,30.93,174024
USO,4/6/2009,0.125,30.23,174024
USO,4/7/2009,0.125,28.94,174024
USO,4/8/2009,0.125,29.49,174024
USO,4/9/2009,0.125,30.69,174024
USO,4/13/2009,0.125,29.68,174024
USO,4/14/2009,0.125,29.21,174024
USO,4/15/2009,0.125,29.31,174024
USO,4/16/2009,0.125,29.29,174024
USO,4/17/2009,0.125,29.45,174024
USO,4/20/2009,0.125,27.22,174024
USO,4/21/2009,0.125,27.33,174024
USO,4/22/2009,0.125,27.34,174024
USO,4/23/2009,0.125,27.88,174024
USO,4/24/2009,0.125,28.9,174024
USO,4/27/2009,0.125,28.08,174024
USO,4/28/2009,0.125,27.85,174024
USO,4/29/2009,0.125,28.56,174024
USO,4/30/2009,0.125,28.63,174024
USO,5/1/2009,0.125,29.62,174024
USO,5/4/2009,0.125,30.56,174024
USO,5/5/2009,0.125,30.15,174024
USO,5/6/2009,0.125,31.43,174024
USO,5/7/2009,0.125,31.49,174024
USO,5/8/2009,0.125,32.49,174024
USO,5/11/2009,0.125,32.29,174024
USO,5/12/2009,0.125,32.63,174024
USO,5/13/2009,0.125,32.19,174024
USO,5/14/2009,0.125,32.4,174024
USO,5/15/2009,0.125,31.3,174024
USO,5/18/2009,0.125,32.71,174024
USO,5/19/2009,0.125,32.79,174024
USO,5/20/2009,0.125,33.87,174024
USO,5/21/2009,0.125,33.38,174024
USO,5/22/2009,0.125,33.7,174024
USO,5/26/2009,0.125,34.11,174024
USO,5/27/2009,0.125,34.582,174024
USO,5/28/2009,0.125,35.34,174024
USO,5/29/2009,0.125,36.4,174024
USO,6/1/2009,0.125,37.43,174024
USO,6/2/2009,0.125,37.61,174024
USO,6/3/2009,0.125,36.25,174024
USO,6/4/2009,0.125,37.69,174024
USO,6/5/2009,0.125,37.4,174024
USO,6/8/2009,0.125,37.54,174024
USO,6/9/2009,0.125,38.19,174024
USO,6/10/2009,0.125,38.97,174024
USO,6/11/2009,0.125,39.68,174024
USO,6/12/2009,0.125,39.43,174024
USO,6/15/2009,0.125,38.52,174024
USO,6/16/2009,0.125,38.51,174024
USO,6/17/2009,0.125,38.7,174024
USO,6/18/2009,0.125,38.85,174024
USO,6/19/2009,0.125,37.97,174024
USO,6/22/2009,0.125,36.25,174024
USO,6/23/2009,0.125,37.41,174024
USO,6/24/2009,0.125,37.09,174024
USO,6/25/2009,0.125,38.05,174024
USO,6/26/2009,0.125,37.51,174024
USO,6/29/2009,0.125,38.67,174024
USO,6/30/2009,0.125,37.93,174024
USO,7/1/2009,0.125,37.46,174024
USO,7/2/2009,0.125,36.05,174024
USO,7/6/2009,0.125,34.71,174024
USO,7/7/2009,0.125,33.81,174024
USO,7/8/2009,0.125,32.57,174024
USO,7/9/2009,0.125,32.77,174024
USO,7/10/2009,0.125,32.377,174024
USO,7/13/2009,0.125,32.37,174024
USO,7/14/2009,0.125,32.11,174024
USO,7/15/2009,0.125,33.47,174024
USO,7/16/2009,0.125,33.56,174024
USO,7/17/2009,0.125,34.24,174024
USO,7/20/2009,0.125,34.83,174024
USO,7/21/2009,0.125,34.94,174024
USO,7/22/2009,0.125,34.81,174024
USO,7/23/2009,0.125,35.79,174024
USO,7/24/2009,0.125,36.221,174024
USO,7/27/2009,0.125,36.32,174024
USO,7/28/2009,0.125,35.76,174024
USO,7/29/2009,0.125,33.47,174024
USO,7/30/2009,0.125,35.49,174024
USO,7/31/2009,0.125,36.81,174024
USO,8/3/2009,0.125,37.92,174024
USO,8/4/2009,0.125,37.97,174024
USO,8/5/2009,0.125,38.2,174024
USO,8/6/2009,0.125,38.27,174024
USO,8/7/2009,0.125,37.65,174024
USO,8/10/2009,0.125,37.71,174024
USO,8/11/2009,0.125,36.86,174024
USO,8/12/2009,0.125,37.35,174024
USO,8/13/2009,0.125,37.8,174024
USO,8/14/2009,0.125,36.03,174024
USO,8/17/2009,0.125,35.52,174024
USO,8/18/2009,0.125,36.86,174024
USO,8/19/2009,0.125,38.12,174024
USO,8/20/2009,0.125,37.67,174024
USO,8/21/2009,0.125,38.23,174024
USO,8/24/2009,0.125,38.3,174024
USO,8/25/2009,0.125,37.17,174024
USO,8/26/2009,0.125,36.95,174024
USO,8/27/2009,0.125,37.72,174024
USO,8/28/2009,0.125,37.66,174024
USO,8/31/2009,0.125,36.05,174024
USO,9/1/2009,0.125,35.27,174024
USO,9/2/2009,0.125,35.18,174024
USO,9/3/2009,0.125,35.32,174024
USO,9/4/2009,0.125,35.13,174024
USO,9/8/2009,0.125,36.94,174024
USO,9/9/2009,0.125,36.94,174024
USO,9/10/2009,0.125,37.37,174024
USO,9/11/2009,0.125,35.82,174024
USO,9/14/2009,0.125,35.71,174024
USO,9/15/2009,0.125,36.7,174024
USO,9/16/2009,0.125,37.43,174024
USO,9/17/2009,0.125,37.49,174024
USO,9/18/2009,0.125,37.12,174024
USO,9/21/2009,0.125,35.85,174024
USO,9/22/2009,0.125,36.98,174024
USO,9/23/2009,0.125,35.13,174024
USO,9/24/2009,0.125,33.97,174024
USO,9/25/2009,0.125,34,174024
USO,9/28/2009,0.125,34.51,174024
USO,9/29/2009,0.125,34.31,174024
USO,9/30/2009,0.125,36.19,174024
USO,10/1/2009,0.125,36.23,174024
USO,10/2/2009,0.125,35.87,174024
USO,10/5/2009,0.125,36.18,174024
USO,10/6/2009,0.125,36.54,174024
USO,10/7/2009,0.125,35.96,174024
USO,10/8/2009,0.125,36.68,174024
USO,10/9/2009,0.125,37.16,174024
USO,10/12/2009,0.125,37.69,174024
USO,10/13/2009,0.125,38.15,174024
USO,10/14/2009,0.125,38.61,174024
USO,10/15/2009,0.125,39.91,174024
USO,10/16/2009,0.125,40.45,174024
USO,10/19/2009,0.125,40.76,174024
USO,10/20/2009,0.125,40.39,174024
USO,10/21/2009,0.125,41.33,174024
USO,10/22/2009,0.125,41.47,174024
USO,10/23/2009,0.125,40.91,174024
USO,10/26/2009,0.125,40.13,174024
USO,10/27/2009,0.125,40.59,174024
USO,10/28/2009,0.125,39.46,174024
USO,10/29/2009,0.125,40.9,174024
USO,10/30/2009,0.125,39.32,174024
USO,11/2/2009,0.125,39.97,174024
USO,11/3/2009,0.125,40.62,174024
USO,11/4/2009,0.125,40.99,174024
USO,11/5/2009,0.125,40.8,174024
USO,11/6/2009,0.125,39.7,174024
USO,11/9/2009,0.125,40.5,174024
USO,11/10/2009,0.125,40.41,174024
USO,11/11/2009,0.125,40.55,174024
USO,11/12/2009,0.125,39.27,174024
USO,11/13/2009,0.125,39.12,174024
USO,11/16/2009,0.125,40.29,174024
USO,11/17/2009,0.125,40.48,174024
USO,11/18/2009,0.125,40.67,174024
USO,11/19/2009,0.125,39.66,174024
USO,11/20/2009,0.125,39.42,174024
USO,11/23/2009,0.125,39.38,174024
USO,11/24/2009,0.125,38.58,174024
USO,11/25/2009,0.125,39.5,174024
USO,11/27/2009,0.125,38.5,174024
USO,11/30/2009,0.125,39.15,174024
USO,12/1/2009,0.125,39.62,174024
USO,12/2/2009,0.125,38.84,174024
USO,12/3/2009,0.125,38.52,174024
USO,12/4/2009,0.125,38.33,174024
USO,12/7/2009,0.125,37.49,174024
USO,12/8/2009,0.125,36.85,174024
USO,12/9/2009,0.125,35.87,174024
USO,12/10/2009,0.125,35.73,174024
USO,12/11/2009,0.125,35.48,174024
USO,12/14/2009,0.125,35.58,174024
USO,12/15/2009,0.125,35.93,174024
USO,12/16/2009,0.125,36.74,174024
USO,12/17/2009,0.125,36.36,174024
USO,12/18/2009,0.125,36.66,174024
USO,12/21/2009,0.125,36.16,174024
USO,12/22/2009,0.125,36.56,174024
USO,12/23/2009,0.125,37.74,174024
USO,12/24/2009,0.125,38.2,174024
USO,12/28/2009,0.125,38.86,174024
USO,12/29/2009,0.125,38.84,174024
USO,12/30/2009,0.125,39.14,174024
USO,12/31/2009,0.125,39.28,174024
USO,1/4/2010,0.125,40.27,174024
USO,1/5/2010,0.125,40.41,174024
USO,1/6/2010,0.125,40.97,174024
USO,1/7/2010,0.125,40.72,174024
USO,1/8/2010,0.125,40.93,174024
USO,1/11/2010,0.125,40.54,174024
USO,1/12/2010,0.125,39.63,174024
USO,1/13/2010,0.125,39.21,174024
USO,1/14/2010,0.125,39.06,174024
USO,1/15/2010,0.125,38.4,174024
USO,1/19/2010,0.125,38.93,174024
USO,1/20/2010,0.125,37.89,174024
