tic,date,ajexdi,price,gvkey
MSTR,1/4/2010,10,96.16,111534
MSTR,1/5/2010,10,97.84,111534
MSTR,1/6/2010,10,96.34,111534
MSTR,1/7/2010,10,92.49,111534
MSTR,1/8/2010,10,95,111534
MSTR,1/11/2010,10,90.77,111534
MSTR,1/12/2010,10,99.57,111534
MSTR,1/13/2010,10,98.09,111534
MSTR,1/14/2010,10,99.07,111534
MSTR,1/15/2010,10,103.59,111534
MSTR,1/19/2010,10,105.1,111534
MSTR,1/20/2010,10,102.44,111534
MSTR,1/21/2010,10,99.45,111534
MSTR,1/22/2010,10,97.01,111534
MSTR,1/25/2010,10,95.49,111534
MSTR,1/26/2010,10,97.35,111534
MSTR,1/27/2010,10,96.83,111534
MSTR,1/28/2010,10,95.5,111534
MSTR,1/29/2010,10,93.72,111534
MSTR,2/1/2010,10,94.37,111534
MSTR,2/2/2010,10,94.66,111534
MSTR,2/3/2010,10,96.64,111534
MSTR,2/4/2010,10,79.03,111534
MSTR,2/5/2010,10,79.13,111534
MSTR,2/8/2010,10,81.26,111534
MSTR,2/9/2010,10,82.42,111534
MSTR,2/10/2010,10,84.03,111534
MSTR,2/11/2010,10,84.54,111534
MSTR,2/12/2010,10,84.8,111534
MSTR,2/16/2010,10,86.14,111534
MSTR,2/17/2010,10,86,111534
MSTR,2/18/2010,10,85.04,111534
MSTR,2/19/2010,10,85.66,111534
MSTR,2/22/2010,10,86.36,111534
MSTR,2/23/2010,10,86.12,111534
MSTR,2/24/2010,10,87.19,111534
MSTR,2/25/2010,10,87.24,111534
MSTR,2/26/2010,10,88.62,111534
MSTR,3/1/2010,10,90.67,111534
MSTR,3/2/2010,10,88.31,111534
MSTR,3/3/2010,10,88.97,111534
MSTR,3/4/2010,10,89.28,111534
MSTR,3/5/2010,10,91.33,111534
MSTR,3/8/2010,10,86.54,111534
MSTR,3/9/2010,10,85.39,111534
MSTR,3/10/2010,10,86.5,111534
MSTR,3/11/2010,10,86.69,111534
MSTR,3/12/2010,10,87.48,111534
MSTR,3/15/2010,10,87.07,111534
MSTR,3/16/2010,10,86.47,111534
MSTR,3/17/2010,10,85.83,111534
MSTR,3/18/2010,10,85.02,111534
MSTR,3/19/2010,10,89.27,111534
MSTR,3/22/2010,10,89.12,111534
MSTR,3/23/2010,10,89.4,111534
