date,exdate,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
2021-06-03,2021-06-04,C,250000,232.4,244.1,0,140295097,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,260000,221.8,235,0,140295098,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,270000,214.2,222.5,0,140295099,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,280000,204.3,212.4,0,140295100,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,290000,194.5,202.5,0,140295101,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,300000,184.6,192.5,0,140295102,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,305000,179.3,187.5,0,139993015,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,310000,173.9,182.5,0,139993016,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,315000,169.1,177.4,0,139993017,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,320000,164,172.5,0,139993018,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,325000,159.3,167.5,0,139993019,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,330000,153.8,162.5,0,139993020,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,335000,148.8,157.5,0,139993021,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,340000,144.2,152.4,0,139993022,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,345000,139,147.5,0,139993023,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,350000,133,142.5,0,139976940,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,355000,129.3,137.5,0,139976941,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,360000,124.6,132.4,0,139976942,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,365000,119,127.5,0,139976943,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,370000,114.1,122.5,0,139976944,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,375000,110.1,115.1,0,139976945,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,380000,105,110,0,139976946,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,385000,100,105.1,0,139976947,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,390000,95.4,100.1,1,139976948,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,395000,90,95,0,139976949,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,400000,85,90,0,139976950,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,405000,79.8,85.1,0,139976951,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,410000,75.1,80.2,1,139976952,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,415000,70.4,75.3,0,139976953,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,420000,65.3,70.3,0,139976954,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,425000,60.2,65.2,0,139976955,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,430000,55.5,60.4,0,139976956,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,435000,50.5,55.6,0,139976957,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,440000,45.4,50.7,0,139976958,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,445000,40.6,45.8,1,139976959,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,450000,36,41.1,1,139976960,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,455000,31.2,36.3,0,139976961,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,460000,27.6,31.7,1,139976962,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,462500,25.3,29.4,0,140548445,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,465000,23.2,27,32,139976963,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,467500,20.9,24.9,0,140548446,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,470000,18.1,22.8,0,139976964,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,472500,16.7,20.9,0,140548447,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,475000,14.6,18.9,4,139976965,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,477500,12.9,17.1,0,140548448,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,480000,11.4,15.6,27,139976966,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,482500,9.7,12,4,140548449,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,485000,8.3,10.5,2,139976967,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,487500,6.6,9.1,5,140548450,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,490000,5.4,8.1,29,139976968,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,492500,4.6,6.5,6,140548451,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,495000,3.7,5.5,43,139976969,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,497500,3,4.7,37,140548452,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,500000,2.5,3.7,89,139976970,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,502500,1.9,3.2,11,140548453,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,505000,1.5,2.6,60,140262006,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,507500,1.2,2.4,9,140548454,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,510000,1.1,2.05,93,139976971,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,515000,0.55,1.55,6,140262007,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,520000,0.25,1.45,32,139976972,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,525000,0.6,1.6,28,140262008,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,527500,0.5,1.5,0,140262009,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,530000,0.6,1.05,115,139976973,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,532500,0.5,1.25,5,140262010,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,535000,0.1,1.1,5,140262011,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,537500,0.05,1,0,140262012,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,540000,0.05,0.8,21,139976974,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,542500,0.05,1.1,2,140262013,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,545000,0.05,0.9,1,140262014,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,547500,0.05,1,0,140262015,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,550000,0.05,1,93,139976975,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,552500,0.2,1.05,0,140262016,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,555000,0.3,1.2,1,140262017,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,557500,0,1,0,140262018,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,560000,0,0.55,0,139976976,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,562500,0,1.1,0,140262019,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,565000,0.1,0.35,0,140148861,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,567500,0,4.5,0,140262020,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,570000,0,4.4,0,139976977,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,572500,0,4.4,0,140262021,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,575000,0,4.2,0,139945482,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,577500,0,4.6,0,140262022,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,580000,0,4.3,0,139945483,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,585000,0,4.5,0,139945484,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,590000,0,4.5,0,139945485,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,595000,0,4.3,0,139945486,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,600000,0.15,1.15,154,139945487,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,602500,0,4.2,0,140148862,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,605000,0,4.3,0,139945488,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,607500,0,1,16,140148863,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,610000,0,4.4,1,139945489,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,612500,0,4,0,140148864,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,615000,0,3.9,0,139945490,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,617500,0,3.9,0,140148865,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,620000,0,4,1,139945491,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,622500,0,4,0,140148866,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,625000,0,1,0,139945492,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,627500,0,4.4,0,139945493,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,630000,0,3.9,0,139945494,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,632500,0,4.3,0,139945495,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,635000,0,3.9,0,139945496,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,637500,0,3.8,0,139945497,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,640000,0,3.8,0,139945498,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,642500,0,3.8,0,139945499,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,645000,0,3.9,1,139945500,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,647500,0,4.2,0,139945501,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,650000,0,0.1,0,139945502,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,652500,0,4.4,0,139945503,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,655000,0,4.3,0,139945504,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,657500,0,4.3,0,139945505,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,660000,0,4.3,0,139945506,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,662500,0,0.1,0,139945507,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,665000,0,4.3,0,139945508,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,667500,0,4.3,0,139945509,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,670000,0,4.3,0,139945510,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,672500,0,4,0,139945511,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,675000,0,4.3,0,139945512,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,677500,0,3.7,0,140044904,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,680000,0,4.3,0,139945513,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,682500,0,4.3,0,140044905,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,685000,0,4.3,0,139945514,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,687500,0,4.4,0,140044906,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,690000,0,4.3,0,139945515,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,692500,0,4.3,0,140044907,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,695000,0,4.3,0,139945516,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,697500,0,4.3,0,140044908,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,700000,0,1.3,0,139945517,0,STRATEGY INC.,A
2021-06-03,2021-06-04,C,702500,0,4.3,0,140044909,0,STRATEGY INC.,A
